author;message;like_count;time
@Renan244rsrs;Datena:marçal oq que rima com estribeiraMarçal:madeiraDatena:int segura a cadeira;2;2024-10-14T12:27:59Z
@lefo777;kkkkkk deve tá doendo até hoje kkkkkkkkkkkkkk;1;2024-10-13T20:07:16Z
@TV-Omega;ISSO FOI ÉPICO, BELO E BONITO!;3;2024-10-13T00:29:48Z
@joaoguedes1937;ELE MERECEU TOMAR CADERADA;1;2024-10-12T15:15:21Z
@daltonzart6581;Marçal é o cara!;0;2024-10-12T02:16:56Z
@roberttorres231;Datena herói nacional.. Chupa marçal, seu bocal;2;2024-10-12T01:55:51Z
@Freya_Gustav149;'NÃO DATENA!'Eu num guento KKKKKKKKKKKKK;2;2024-10-11T02:37:41Z
@davidmoraes2312;Datena é machão só na tv. Da pena;2;2024-10-11T01:35:28Z
@Jose_341;0:20;0;2024-10-11T01:17:44Z
@AnaLuiza-gx2iz;Próxima palestra dele ele vai contar como se defender de um loko com uma cadeira 😂😂😂;0;2024-10-09T20:19:05Z
@lauraarteXD;Datena:'o que rima com caucau?'Marçal:'tchau'Datena:'minha cadeira Vai te dar um pau🪑!';3;2024-10-09T18:49:15Z
@Edivaldo-s5u;É  pena  que  não  teremos  mais os mesmos personagens  no segundo  turno,  apesar de  que adoro os dois.;0;2024-10-09T17:35:27Z
@Edivaldo-s5u;O  MELHOR  DO PRIMEIRO TURNO. NUNCA VI ALGO TÃO  SENSACIONAL;1;2024-10-09T17:31:29Z
@Kim17524;Datena : você conhece a madeiraMarçal : que madeiraDatena : aquele que bate com a cadeira;1;2024-10-09T08:44:31Z
@randomperson7483;então a política brasileira parece divertida;1;2024-10-09T06:09:18Z
@NicoleUkinaaOFC;'Nossos comercias porfavor..' Silêncio;1;2024-10-09T03:24:24Z
@Isaacpamonha-p9o;Www;0;2024-10-09T00:51:41Z
@Caramelo_Agiota777;MAN EU TO MORRENDO KAKAAKAKAKKAKAKAKAKA;3;2024-10-09T00:50:39Z
@rafinhaaaaah;O único defeito é que pararam de gravar;5;2024-10-08T23:03:00Z
@rodrigoafonsodesousa2550;Não tem ninguém, ninguém mesmo reclamando da cadeirada q o Dapena deu no Pablo, todos estão achando é bom né, tá ai um bom retrato do Brasil, o povo ou sociedade, veja como quiser gosta é de ver o circo pegar fogo, até aplaudem!!! Escândalo, descontrole, falta de polimento, mas todos adoram né. É triste isso viu, lamentável. Q bela grande porcaria é essa sociedade de merda onde agente vive.;0;2024-10-08T18:35:00Z
@thiagobp4792;Para as marceletes de plantão: NÃO ELEITO;3;2024-10-08T12:18:16Z
@ПавелВладимирович-ф7ч;Привет 👋 я от FrenchFuse 😁;1;2024-10-08T05:56:45Z
@SallyBr32;Qual o nome da música?;0;2024-10-08T05:05:10Z
@MayrOn20;ESPERO QUE ALGUEM VOLTE DAQUI 4 ANOS NESTE COMENTARIO E DIGA QUE OS CANDIDATOS SÃO MELHORES QUE ESSES;0;2024-10-08T03:14:00Z
@Davi.Barreto;0:20;1;2024-10-08T01:42:32Z
@ClaretRibeiro;Deu ruim  para o.Datena por ser um  jornalista que  briga pelas brigas  da sociedade.Um homem inteligente e culto não dá caldeirada  em ninguém, e tem algo  a mais .Datena tem o coração  frágil, não deve passar  por  fortes  emoções, e perigoso.Datena tinha que contar até 5, relaxar e continuar o debate sem agredir o outro candidato.;0;2024-10-07T23:17:22Z
@NiltonJunior-q5j;Chamem os policiais por favor;0;2024-10-07T20:48:14Z
@VoriH_77;Cê atravessou o debate esses dias pra me dar tapa 😟 e falou q cê queria ter feito 😓cê num é homem nem pra fazer isso😕 cê num é homem 😐 (não, Datena!😧)  Vai😠  (não! não!😰)   🤬🪑*plam*  Nossos comerciais 🎤😦;0;2024-10-07T14:15:58Z
@SailorMarih;É PSDB, acho que deu sua hora...;0;2024-10-07T08:03:37Z
@EuHelenaa..vloggss;Datena: Oque rima com antena?Marçal: Sla.Datena: ent toma a caldeirada do Datena 😰;0;2024-10-07T02:45:06Z
@Kaef_goat_01;Datena: oq rina com estribeira?Marçal: madeiraDatena: ent segura a cadeira 🪑;0;2024-10-07T02:15:44Z
@canalnadaprafazer8195;Marçal: Me da imagens Datena:Não é imagens é IBAGENSCadeirada;0;2024-10-07T01:19:47Z
@7leoalvv;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK;0;2024-10-07T00:49:31Z
@StoneMask-jj;Assim em diante, os filhos do Datena nunca mais pediram mesada.;1;2024-10-07T00:38:53Z
@vendasdaffad8051;Épico;0;2024-10-06T23:49:22Z
@reginaldobarboza9599;REGINALDO;2;2024-10-06T22:12:34Z
@Jeffeson-sw7nh;Pablo Marçal mereceu levar cadeirada do Datena;3;2024-10-06T17:58:28Z
@Jeffeson-sw7nh;Isso é candidato a prefeito pretes;0;2024-10-06T17:57:51Z
@paixaoeromance2279;No lugar do datena faria o mesmo.O marçal chamou ele pra briga Quem não deve não teme.;0;2024-10-06T14:26:56Z
@ElissonRioja;P não é homem nem para fazer isso rs;1;2024-10-06T09:00:18Z
@C0RINGA_INSANO;To fazendo um game de Roblox!comentem up para eu voltar para jogarmos juntos!;0;2024-10-06T06:18:43Z
@fatimadouro8948;INCENDIO NO MUSEU... RATIMBUM,  CADEIRADA...CADÊ O PAULISTA? TUDO POR ACASO?;0;2024-10-06T05:16:45Z
@fatimadouro8948;@alanderamorim64  seu primo como profissional deve saber muiiiiiiita coisa. Precisa ver se tem bom nível  ético . Da forma que me escreve, me agride. Voce nao tem o direito de me ofender como telespectadora. Voce  diz que  preciso estudar ? Bem... a verdade é que passamos a vida  estudando  e não sabemos de nada. Eu pretendo estudar até o fim de minha vida. Mas... o interessante  é que continuemos  estudando, analisando , conversando, compartilhando , revendo , reanalisando, nos transformando a cada dia ou tentando  ser a cada dia melhores.De fato, não  tenho o seu nivel educacional  e escrevo  errado  mesmo.Porém... vossa senhoria  não  pode  me criticar pois são  65 anos de idade e 55 acompanhando a cultura educativa. E mais alguns  poucos anos acompanhando a cultura que  era parte, não sei exatamente a ligação , com a extinta, tradicional  e guerreira tupi.Sendo assim se seu primo e sua  familia tem raiva, odio, ressentimento da cultura. E ele possuía  vínculo  profissional  e deve  ter até algum  problema trabalhista  não  compete  a mim saber.Compete a mim como ser  humano  analisar  como telespectadora e estudiosa. Sim, você debocha dos meus 50 anos de estudo . Eu nao sei dos podres  de lá assim como não  posso  saber  dos podres  de sua familia ou de quem quer que seja. Eu sei, lembro e avalio como cidadã, meio ignorante  como você  me define.Lamento e continuarei  lamentando que  uma emissora  pública  tenha caído  ao receber convidados  como os mencionados além  de figuras  mentirosas como as citadas.Há erros e muitos. Eu erro sempre e reconheço.Sua ironia, deboche em nada acrescentaram  . Só demonstraram desprezo.Falta de respeito a minha pessoa.Como não conheço seu primo. Se ele for pessoa de alto nível  educacional e humano não  deve gostar  de seu comentário.Se ja faleceu... respeite se.Uma pergunta: por que se incomodou tanto  com meu comentário ? Incomode se com quem pratica o mal, rouba, agride, mata, mente, desrespeita. Incomode se com aqueles que destruiram a amazonia legal e continuam destruindo... e não  com uma senhora que  estuda tv e nao simplesmente fica sentada absorvendo  mentiras  sem questionamentos .Acrescento  ainda que seu coment até me fortaleceu  a continuar a estudar, observar, inferir e abstrair.;0;2024-10-06T05:14:20Z
